Label Encoding:
no=[1, 0]
yes=[0, 1]
[('test-driven development', 'software requirements review')],[[ 0.76627934  0.23372065]]
[('complex adaptive system', 'software requirements review')],[[ 0.76631576  0.23368423]]
[('team demo', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('move', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('process action team', 'software requirements review')],[[ 0.76631027  0.23368973]]
[('prescriptive process', 'software requirements review')],[[ 0.7663222   0.23367782]]
[('transaction transparency', 'software requirements review')],[[ 0.76632172  0.23367834]]
[('on-line', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('done-done-done', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('software testing', 'software requirements review')],[[ 0.11429051  0.88570952]]
[('road map', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('script', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('deliverable', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('agile software development', 'software requirements review')],[[ 0.11470274  0.8852973 ]]
[('pass criteria', 'software requirements review')],[[ 0.76632112  0.23367882]]
[('variance', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('acceptance test', 'software requirements review')],[[ 0.76632094  0.23367904]]
[('continuous integration', 'software requirements review')],[[ 0.766312    0.23368803]]
[('consumer', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('stand up', 'software requirements review')],[[ 0.76632315  0.23367684]]
[('marginal economics', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('robust', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('feature', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('scrum', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('glossary', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('configuration control', 'software requirements review')],[[ 0.76631927  0.23368073]]
[('absolute', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('specification by example', 'software requirements review')],[[ 0.766321    0.23367901]]
[('technical requirements', 'software requirements review')],[[ 0.11435787  0.88564211]]
[('cross-functional team', 'software requirements review')],[[ 0.76631552  0.23368442]]
[('distributed team', 'software requirements review')],[[ 0.76632017  0.23367988]]
[('chaotic domain', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('product backlog grooming', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('project deliverable', 'software requirements review')],[[ 0.76631606  0.23368397]]
[('Scrum framework', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('effort', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('client', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('code review', 'software requirements review')],[[ 0.1143373   0.88566267]]
[('fail-fast', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('partial', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('musketeer attitude', 'software requirements review')],[[ 0.76632327  0.23367676]]
[('acceptance', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('plan-driven process', 'software requirements review')],[[ 0.76627058  0.23372933]]
[('domain engineering', 'software requirements review')],[[ 0.76628673  0.23371334]]
[('interface control', 'software requirements review')],[[ 0.76631832  0.23368165]]
[('iterative and incremental process', 'software requirements review')],[[ 0.76632017  0.23367988]]
[('intrinsic', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('unnecessary formality', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('user story', 'software requirements review')],[[ 0.76632196  0.23367795]]
[('requirement', 'software requirements review')],[[ 0.11440944  0.88559055]]
[('backlog refinement', 'software requirements review')],[[ 0.76627672  0.23372333]]
[('offset', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('expensed cost', 'software requirements review')],[[ 0.76632285  0.23367718]]
[('learning loop', 'software requirements review')],[[ 0.76632184  0.2336781 ]]
[('grooming', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('clear', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('characteristic', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('pbi slotting', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('natural language', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('satisfaction', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('story point', 'software requirements review')],[[ 0.76631325  0.23368675]]
[('pipeline', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('functional analysis', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('review', 'software requirements review')],[[ 0.11433934  0.88566071]]
[('requirements phase', 'software requirements review')],[[ 0.11430801  0.88569206]]
[('user need', 'software requirements review')],[[ 0.76632166  0.23367837]]
[('boy scout rule', 'software requirements review')],[[ 0.76631027  0.23368968]]
[('sustainable pace', 'software requirements review')],[[ 0.76632082  0.23367919]]
[('long-term asset', 'software requirements review')],[[ 0.76630574  0.23369426]]
[('development team', 'software requirements review')],[[ 0.76630414  0.23369588]]
[('certified scrummaster', 'software requirements review')],[[ 0.76632154  0.2336784 ]]
[('set', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('acceptance test driven development', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('ideal day', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('burn down chart', 'software requirements review')],[[ 0.766321    0.23367901]]
[('trailer', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('release planning', 'software requirements review')],[[ 0.76631874  0.23368128]]
[('formal testing', 'software requirements review')],[[ 0.76631188  0.23368812]]
[('establish and maintain', 'software requirements review')],[[ 0.76632208  0.23367795]]
[('fragile', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('developer', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('project', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('agile development practices', 'software requirements review')],[[ 0.76618189  0.23381819]]
[('internal stakeholders', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('summary activity', 'software requirements review')],[[ 0.76631564  0.23368439]]
[('execution', 'software requirements review')],[[ 0.76632184  0.2336781 ]]
[('architecture', 'software requirements review')],[[ 0.76631761  0.23368244]]
[('duration', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('web', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('root', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('waste', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('system entity', 'software requirements review')],[[ 0.7663061   0.23369391]]
[('knowledge', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('project management', 'software requirements review')],[[ 0.76631862  0.23368141]]
[('output measure', 'software requirements review')],[[ 0.76630187  0.23369807]]
[('acquisition', 'software requirements review')],[[ 0.766321    0.23367901]]
[('testing', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('iteration', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('test automation', 'software requirements review')],[[ 0.76631528  0.23368478]]
[('continuous delivery', 'software requirements review')],[[ 0.76631445  0.2336856 ]]
[('validated learning', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('release', 'software requirements review')],[[ 0.7654295   0.23457055]]
[('cardinality', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('medium', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('software design', 'software requirements review')],[[ 0.11431137  0.88568854]]
[('bundle', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('value chain', 'software requirements review')],[[ 0.76632172  0.23367834]]
[('Certified Scrum Product Owner', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('operation part', 'software requirements review')],[[ 0.76631767  0.23368241]]
[('t-shirt sizing', 'software requirements review')],[[ 0.76631886  0.23368119]]
[('minimum marketable features', 'software requirements review')],[[ 0.76631629  0.23368371]]
[('value', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('construction', 'software requirements review')],[[ 0.76632214  0.23367792]]
[('global attribute', 'software requirements review')],[[ 0.76632196  0.23367803]]
[('maintainability', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('nonfunctional requirement', 'software requirements review')],[[ 0.11456201  0.88543802]]
[('all-at-once product development', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('sprint', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('innovation waste', 'software requirements review')],[[ 0.76632196  0.23367803]]
[('exploitation', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('style', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('interpret', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('end-user', 'software requirements review')],[[ 0.76632184  0.23367815]]
[('complexity', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('self-organization', 'software requirements review')],[[ 0.76632154  0.23367845]]
[('assessment', 'software requirements review')],[[ 0.76632082  0.23367923]]
[('emergence', 'software requirements review')],[[ 0.76632166  0.23367837]]
[('technical stories', 'software requirements review')],[[ 0.76631242  0.23368759]]
[('design language', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('category', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('code', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('Scrummerfall', 'software requirements review')],[[ 0.76632285  0.23367718]]
[('fail fast', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('transparency', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('software requirements review', 'software requirements review')],[[  2.25094357e-12   1.00000000e+00]]
[('chief product owner', 'software requirements review')],[[ 0.76631731  0.23368274]]
[('functional design', 'software requirements review')],[[ 0.76631778  0.23368222]]
[('statement', 'software requirements review')],[[ 0.76631373  0.23368633]]
[('artifact', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('certified scrum product owner', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('portability', 'software requirements review')],[[ 0.76632184  0.23367815]]
[('techniques', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('scrum team', 'software requirements review')],[[ 0.76632196  0.23367803]]
[('captial expenditure', 'software requirements review')],[[ 0.76631683  0.23368324]]
[('portfolio', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('emergent opportunity', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('note', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('user interface', 'software requirements review')],[[ 0.76631027  0.23368968]]
[('rule', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('activity', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('recovery', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('escaped', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('capex', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('idle workers', 'software requirements review')],[[ 0.76632214  0.23367792]]
[('variable', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('product backlog item', 'software requirements review')],[[ 0.76632112  0.23367882]]
[('menu', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('resume', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('just in time', 'software requirements review')],[[ 0.76629788  0.23370211]]
[('software development folder', 'software requirements review')],[[ 0.04376763  0.95623237]]
[('requirements management', 'software requirements review')],[[ 0.11453893  0.88546103]]
[('synchronization', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('design fault', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('problem', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('functionality', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('transaction schema', 'software requirements review')],[[ 0.76632005  0.23368001]]
[('programming', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('cast', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('identity-style view', 'software requirements review')],[[ 0.76631039  0.23368959]]
[('iterative development', 'software requirements review')],[[ 0.76632011  0.23367991]]
[('t-shaped skills', 'software requirements review')],[[ 0.76632029  0.23367964]]
[('feature team', 'software requirements review')],[[ 0.76631492  0.23368506]]
[('schedule analysis', 'software requirements review')],[[ 0.76631629  0.23368366]]
[('values', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('usability', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('anticipatory process', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('adaptation', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('test-first development', 'software requirements review')],[[ 0.76627803  0.23372202]]
[('end user', 'software requirements review')],[[ 0.76632178  0.23367821]]
[('life-cycle processes', 'software requirements review')],[[ 0.76629025  0.23370969]]
[('test', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('organization', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('capacity', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('minimum releasable features', 'software requirements review')],[[ 0.76631695  0.23368308]]
[('principle', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('processing', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('fail', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('pass', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('fault', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('acceptance criteria', 'software requirements review')],[[ 0.76632035  0.23367959]]
[('U-curve optimization', 'software requirements review')],[[ 0.7663154   0.23368461]]
[('cycle', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('envisioning', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('overload', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('program', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('product planning', 'software requirements review')],[[ 0.76632285  0.23367718]]
[('sprint backlog', 'software requirements review')],[[ 0.76632154  0.23367845]]
[('go to', 'software requirements review')],[[ 0.76632273  0.23367721]]
[('threshold', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('practice', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('backlog grooming', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('product backlog', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('stakeholders', 'software requirements review')],[[ 0.76632208  0.23367795]]
[('formal language', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('training', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('stream', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('plan risk management', 'software requirements review')],[[ 0.76631165  0.23368843]]
[('project inception', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('backlog item', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('delivery', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('capital expenditure', 'software requirements review')],[[ 0.7663191   0.23368087]]
[('conditions of satisfaction', 'software requirements review')],[[ 0.76632178  0.23367821]]
[('process area', 'software requirements review')],[[ 0.76632059  0.23367943]]
[('retrospective', 'software requirements review')],[[ 0.76632154  0.2336784 ]]
[('co-located team', 'software requirements review')],[[ 0.76632142  0.23367859]]
[('kano analysis', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('impediment', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('sequential', 'software requirements review')],[[ 0.76631862  0.23368141]]
[('pair programming', 'software requirements review')],[[ 0.7663213   0.23367876]]
[('graph', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('daily stand-up', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('name', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('batch', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('prioritized list', 'software requirements review')],[[ 0.76632047  0.23367952]]
[('development', 'software requirements review')],[[ 0.76632082  0.23367923]]
[('agile project management', 'software requirements review')],[[ 0.76631629  0.23368371]]
[('Extreme Programming', 'software requirements review')],[[ 0.7663157  0.2336843]]
[('shell', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('must-have features', 'software requirements review')],[[ 0.76623613  0.2337639 ]]
[('sprint goal', 'software requirements review')],[[ 0.76632011  0.23367991]]
[('scope', 'software requirements review')],[[ 0.76632166  0.23367837]]
[('continuous improvement', 'software requirements review')],[[ 0.76632005  0.23368001]]
[('behavior', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('scrummaster', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('software development', 'software requirements review')],[[ 0.11078361  0.88921642]]
[('work in process', 'software requirements review')],[[ 0.76628143  0.23371853]]
[('calendar', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('computer', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('argument', 'software requirements review')],[[ 0.76632047  0.23367958]]
[('release train', 'software requirements review')],[[ 0.76630533  0.23369467]]
[('lean', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('targeted technical debt', 'software requirements review')],[[ 0.766312    0.23368803]]
[('information radiator', 'software requirements review')],[[ 0.76632214  0.23367792]]
[('definition of done', 'software requirements review')],[[ 0.76631802  0.23368201]]
[('timeboxing', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('function field', 'software requirements review')],[[ 0.76632154  0.23367845]]
[('kaizen', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('view', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('procedure', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('endeavor', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('schedule performance', 'software requirements review')],[[ 0.76627058  0.23372933]]
[('system stakeholder', 'software requirements review')],[[ 0.76632154  0.2336784 ]]
[('inspect and adapt', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('prototyping', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('backlog', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('process management', 'software requirements review')],[[ 0.76632154  0.2336784 ]]
[('release goal', 'software requirements review')],[[ 0.76631981  0.2336802 ]]
[('software', 'software requirements review')],[[ 0.11434822  0.88565171]]
[('word', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('domain architecture', 'software requirements review')],[[ 0.76630896  0.23369105]]
[('chain', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('declaration', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('incremental development', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('assemble', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('instruction counter', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('unavoidable technical debt', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('project manager', 'software requirements review')],[[ 0.76632196  0.23367803]]
[('principal', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('technique', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('condition', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('stakeholder', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('using smartsheet as your agile project management tool', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('information product', 'software requirements review')],[[ 0.76632082  0.23367919]]
[('program increment', 'software requirements review')],[[ 0.76629174  0.2337082 ]]
[('probability', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('scale', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('sequential process', 'software requirements review')],[[ 0.76631975  0.23368031]]
[('empirical process control', 'software requirements review')],[[ 0.76631862  0.23368135]]
[('ground term', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('service', 'software requirements review')],[[ 0.76632136  0.23367862]]
[('functional requirement', 'software requirements review')],[[ 0.11438997  0.88561004]]
[('certification', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('information management', 'software requirements review')],[[ 0.76632082  0.23367919]]
[('all-before-any', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('format', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('high-level language', 'software requirements review')],[[ 0.76632154  0.2336784 ]]
[('productivity', 'software requirements review')],[[ 0.76632231  0.23367769]]
