Label Encoding:
no=[1, 0]
yes=[0, 1]
[('acceptance', 'scrum team')],[[ 0.39877275  0.60122728]]
[('intrinsic', 'scrum team')],[[ 0.74949664  0.2505033 ]]
[('variable', 'scrum team')],[[ 0.39596301  0.60403699]]
[('relative size measure', 'scrum team')],[[ 0.76630718  0.23369291]]
[('collaboration', 'scrum team')],[[ 0.72360605  0.27639395]]
[('all-before-any', 'scrum team')],[[ 0.75959152  0.24040847]]
[('poker planning', 'scrum team')],[[ 0.61099666  0.38900331]]
[('parameter', 'scrum team')],[[ 0.07515931  0.92484063]]
[('precision', 'scrum team')],[[ 0.61706305  0.38293695]]
[('envisioning', 'scrum team')],[[ 0.75161409  0.24838586]]
[('unit', 'scrum team')],[[ 0.23977816  0.76022184]]
[('software quality characteristic', 'scrum team')],[[ 0.76632267  0.23367736]]
[('diagram number', 'scrum team')],[[ 0.12813413  0.87186587]]
[('agile software development methodology', 'scrum team')],[[ 0.76632273  0.23367725]]
[('continuous integration', 'scrum team')],[[ 0.76334161  0.23665839]]
[('software engineering', 'scrum team')],[[ 0.76094353  0.23905645]]
[('stakeholder value', 'scrum team')],[[ 0.74421185  0.25578812]]
[('technical requirements', 'scrum team')],[[ 0.7658236   0.23417644]]
[('point', 'scrum team')],[[ 0.33983612  0.66016388]]
[('fail-safe', 'scrum team')],[[ 0.41156632  0.58843368]]
[('colocation', 'scrum team')],[[ 0.30721906  0.69278091]]
[('idle', 'scrum team')],[[ 0.72102493  0.27897507]]
[('sprint goal', 'scrum team')],[[ 0.04461719  0.95538282]]
[('velocity', 'scrum team')],[[ 0.61534601  0.38465399]]
[('code', 'scrum team')],[[ 0.2175923   0.78240776]]
[('component team', 'scrum team')],[[ 0.01609432  0.98390573]]
[('kano model analysis', 'scrum team')],[[ 0.76579905  0.23420097]]
[('agile release train', 'scrum team')],[[ 0.76216477  0.23783521]]
[('knowledge', 'scrum team')],[[ 0.6666978   0.33330214]]
[('sprint retrospective', 'scrum team')],[[ 0.6296342  0.3703658]]
[('release goal', 'scrum team')],[[ 0.13497213  0.8650279 ]]
[('real-time scheduling theory', 'scrum team')],[[ 0.76631773  0.2336823 ]]
[('innovation accounting', 'scrum team')],[[ 0.76601267  0.23398726]]
[('demo demonstration', 'scrum team')],[[ 0.67421937  0.32578063]]
[('duration', 'scrum team')],[[ 0.22823189  0.77176815]]
[('product backlog item', 'scrum team')],[[ 0.76551634  0.23448364]]
[('internal stakeholders', 'scrum team')],[[ 0.76473826  0.23526177]]
[('business value', 'scrum team')],[[ 0.55833501  0.44166502]]
[('component testing', 'scrum team')],[[ 0.74559563  0.25440431]]
[('measure', 'scrum team')],[[ 0.54906183  0.45093819]]
[('feature', 'scrum team')],[[ 0.68114442  0.31885561]]
[('process area', 'scrum team')],[[ 0.07172406  0.92827594]]
[('Scrum framework', 'scrum team')],[[ 0.01612673  0.98387331]]
[('estimate', 'scrum team')],[[ 0.08314285  0.91685718]]
[('certification', 'scrum team')],[[ 0.7090838  0.2909162]]
[('design pattern', 'scrum team')],[[ 0.39658058  0.60341942]]
[('functional size', 'scrum team')],[[ 0.7011922   0.29880774]]
[('timeline', 'scrum team')],[[ 0.55632722  0.44367284]]
[('test-driven development', 'scrum team')],[[ 0.76616621  0.23383386]]
[('strategy', 'scrum team')],[[ 0.04666523  0.95333475]]
[('back-to-back testing', 'scrum team')],[[ 0.76596403  0.234036  ]]
[('team member', 'scrum team')],[[ 0.03784924  0.96215081]]
[('t-shaped skills', 'scrum team')],[[ 0.7496143   0.25038576]]
[('measurement', 'scrum team')],[[ 0.5672307   0.43276933]]
[('domain', 'scrum team')],[[ 0.56494856  0.4350515 ]]
[('exploitation', 'scrum team')],[[ 0.74996042  0.25003961]]
[('economic filter', 'scrum team')],[[ 0.54130596  0.45869404]]
[('task', 'scrum team')],[[ 0.12671392  0.87328607]]
[('go to', 'scrum team')],[[ 0.09614526  0.90385473]]
[('acceptance test driven development', 'scrum team')],[[ 0.76632273  0.23367725]]
[('trademark', 'scrum team')],[[ 0.47913012  0.52086985]]
[('bundle', 'scrum team')],[[ 0.19253142  0.80746859]]
[('long-term asset', 'scrum team')],[[ 0.76017356  0.23982649]]
[('functional requirement', 'scrum team')],[[ 0.76606178  0.23393816]]
[('forecast', 'scrum team')],[[ 0.36899066  0.63100934]]
[('backlog', 'scrum team')],[[ 0.62355822  0.37644175]]
[('scrum', 'scrum team')],[[ 0.00727774  0.99272221]]
[('burnup chart', 'scrum team')],[[ 0.10331169  0.89668834]]
[('establish and maintain', 'scrum team')],[[ 0.76631469  0.23368528]]
[('clear', 'scrum team')],[[ 0.09488263  0.90511739]]
[('system entity', 'scrum team')],[[ 0.10163332  0.89836663]]
[('binding', 'scrum team')],[[ 0.53109664  0.46890339]]
[('story point', 'scrum team')],[[ 0.08656297  0.91343701]]
[('proof', 'scrum team')],[[ 0.47755376  0.52244616]]
[('minimum marketable features', 'scrum team')],[[ 0.76632088  0.23367909]]
[('feature teams', 'scrum team')],[[ 0.01269621  0.98730379]]
[('schedule', 'scrum team')],[[ 0.0654799   0.93452013]]
[('disorder domain', 'scrum team')],[[ 0.66061604  0.33938393]]
[('acceptance-test-driven development', 'scrum team')],[[ 0.76632273  0.23367725]]
[('musketeer attitude', 'scrum team')],[[ 0.76082104  0.23917896]]
[('meaning', 'scrum team')],[[ 0.64707053  0.35292947]]
[('u-curve optimization', 'scrum team')],[[ 0.76590151  0.23409854]]
[('chain', 'scrum team')],[[ 0.59615952  0.40384051]]
[('taxonomy', 'scrum team')],[[ 0.70946115  0.29053882]]
[('monitoring and controlling processes', 'scrum team')],[[ 0.76632273  0.23367725]]
[('declaration', 'scrum team')],[[ 0.62922096  0.37077904]]
[('software development folder', 'scrum team')],[[ 0.76632112  0.23367882]]
[('suite', 'scrum team')],[[ 0.05137846  0.94862151]]
[('sprint', 'scrum team')],[[ 0.04395735  0.95604265]]
[('pass criteria', 'scrum team')],[[ 0.37857801  0.62142193]]
[('process management', 'scrum team')],[[ 0.75246269  0.24753737]]
[('project inception', 'scrum team')],[[ 0.74854487  0.2514551 ]]
[('read', 'scrum team')],[[ 0.10344658  0.8965534 ]]
[('monitoring', 'scrum team')],[[ 0.6773243  0.3226757]]
[('specification', 'scrum team')],[[ 0.6722219   0.32777813]]
[('project risk management', 'scrum team')],[[ 0.76626921  0.23373075]]
[('system demo', 'scrum team')],[[ 0.04549668  0.95450324]]
[('sprint review', 'scrum team')],[[ 0.04621971  0.95378023]]
[('sustainable pace', 'scrum team')],[[ 0.66314709  0.33685285]]
[('elementary process', 'scrum team')],[[ 0.76468468  0.23531525]]
[('cargo cult', 'scrum team')],[[ 0.08186044  0.91813958]]
[('startup', 'scrum team')],[[ 0.14859213  0.85140783]]
[('definition', 'scrum team')],[[ 0.27039889  0.72960114]]
[('project notebook', 'scrum team')],[[ 0.72627395  0.27372599]]
[('daily standup', 'scrum team')],[[ 0.53159964  0.46840042]]
[('pseudo operation', 'scrum team')],[[ 0.63729072  0.36270928]]
[('program', 'scrum team')],[[ 0.06134947  0.93865055]]
[('attribute', 'scrum team')],[[ 0.15644953  0.84355044]]
[('condition', 'scrum team')],[[ 0.27608684  0.72391307]]
[('list', 'scrum team')],[[ 0.52968287  0.47031716]]
[('training', 'scrum team')],[[ 0.32000887  0.67999113]]
[('project manager', 'scrum team')],[[ 0.16028814  0.83971184]]
[('navigation', 'scrum team')],[[ 0.63855386  0.36144617]]
[('agile software development', 'scrum team')],[[ 0.76631981  0.23368016]]
[('job', 'scrum team')],[[ 0.55724806  0.44275197]]
[('principle of least astonishment', 'scrum team')],[[ 0.76632273  0.23367725]]
[('operational expense', 'scrum team')],[[ 0.76432657  0.23567347]]
[('subject area', 'scrum team')],[[ 0.10501677  0.89498323]]
[('tutorial', 'scrum team')],[[ 0.2360715   0.76392853]]
[('box', 'scrum team')],[[ 0.61977148  0.38022852]]
[('assessment', 'scrum team')],[[ 0.32940498  0.67059499]]
[('version', 'scrum team')],[[ 0.60044605  0.39955398]]
[('coordination', 'scrum team')],[[ 0.32301262  0.67698735]]
[('prototyping', 'scrum team')],[[ 0.72384512  0.27615485]]
[('genba', 'scrum team')],[[ 0.64659661  0.35340336]]
[('traditional development process', 'scrum team')],[[ 0.76632273  0.23367725]]
[('control flow diagram', 'scrum team')],[[ 0.7660988   0.23390117]]
[('access', 'scrum team')],[[ 0.16231441  0.83768559]]
[('t-shirt sizing', 'scrum team')],[[ 0.76205516  0.23794483]]
[('incremental development', 'scrum team')],[[ 0.76470339  0.23529659]]
[('critical path', 'scrum team')],[[ 0.25508058  0.74491936]]
[('impediment', 'scrum team')],[[ 0.35246021  0.64753979]]
[('insight backlog', 'scrum team')],[[ 0.70271581  0.29728422]]
[('forward pass', 'scrum team')],[[ 0.38379687  0.61620319]]
[('opportunity', 'scrum team')],[[ 0.05768706  0.9423129 ]]
[('queue', 'scrum team')],[[ 0.36062852  0.6393714 ]]
[('decision criteria', 'scrum team')],[[ 0.68455118  0.31544879]]
[('certified scrum professional', 'scrum team')],[[ 0.11925433  0.88074571]]
[('taskboard', 'scrum team')],[[ 0.66299504  0.33700493]]
[('characteristic', 'scrum team')],[[ 0.76142389  0.23857608]]
[('operation part', 'scrum team')],[[ 0.48725158  0.51274848]]
[('successor activity', 'scrum team')],[[ 0.36069819  0.63930178]]
[('root', 'scrum team')],[[ 0.54344809  0.45655194]]
[('done-done', 'scrum team')],[[ 0.32207376  0.67792624]]
[('stakeholder', 'scrum team')],[[ 0.64562756  0.35437241]]
[('complex domain', 'scrum team')],[[ 0.68713862  0.31286141]]
[('instance', 'scrum team')],[[ 0.46669525  0.53330469]]
[('model', 'scrum team')],[[ 0.14556469  0.85443527]]
[('integration', 'scrum team')],[[ 0.66252124  0.33747882]]
[('fixed-date release', 'scrum team')],[[ 0.76587605  0.23412402]]
[('top-down', 'scrum team')],[[ 0.33756322  0.66243678]]
[('service provider', 'scrum team')],[[ 0.71519852  0.28480145]]
[('assemble', 'scrum team')],[[ 0.23696263  0.76303732]]
[('address part', 'scrum team')],[[ 0.29056489  0.70943511]]
[('project initiation', 'scrum team')],[[ 0.75429595  0.24570411]]
[('productivity', 'scrum team')],[[ 0.67392284  0.32607716]]
[('actual cost of work performed', 'scrum team')],[[ 0.76632142  0.23367859]]
[('sprint execution', 'scrum team')],[[ 0.4292841  0.5707159]]
[('tree', 'scrum team')],[[ 0.22915548  0.77084446]]
[('sprint plan', 'scrum team')],[[ 0.04639637  0.95360363]]
[('point inflation', 'scrum team')],[[ 0.74511796  0.25488201]]
[('refactoring', 'scrum team')],[[ 0.75180495  0.24819504]]
[('epic', 'scrum team')],[[ 0.735062  0.264938]]
[('purpose', 'scrum team')],[[ 0.08532578  0.91467422]]
[('safety', 'scrum team')],[[ 0.10158041  0.89841956]]
[('user need', 'scrum team')],[[ 0.04734762  0.95265234]]
[('unnecessary formality', 'scrum team')],[[ 0.76613051  0.23386952]]
[('reusable', 'scrum team')],[[ 0.69731832  0.30268174]]
[('functionality', 'scrum team')],[[ 0.74495888  0.25504115]]
[('value', 'scrum team')],[[ 0.10527661  0.89472342]]
[('defect repair', 'scrum team')],[[ 0.26284155  0.73715842]]
[('iterative and incremental process', 'scrum team')],[[ 0.76632273  0.23367725]]
[('complexity', 'scrum team')],[[ 0.48481047  0.51518959]]
[('self-documented', 'scrum team')],[[ 0.54946256  0.45053744]]
[('feedback', 'scrum team')],[[ 0.6543541   0.34564593]]
[('access permission', 'scrum team')],[[ 0.7393111   0.26068893]]
[('bottom-up', 'scrum team')],[[ 0.18352409  0.81647587]]
[('agile project management', 'scrum team')],[[ 0.76629931  0.23370065]]
[('values', 'scrum team')],[[ 0.09694229  0.90305775]]
[('performance specification', 'scrum team')],[[ 0.76623112  0.23376885]]
[('technical practices', 'scrum team')],[[ 0.6920554  0.3079446]]
[('object', 'scrum team')],[[ 0.32821131  0.67178869]]
[('milestone', 'scrum team')],[[ 0.20994882  0.79005122]]
[('detailed design specification', 'scrum team')],[[ 0.76632267  0.23367728]]
[('last responsible moment', 'scrum team')],[[ 0.76629007  0.23370992]]
[('mapping', 'scrum team')],[[ 0.62274784  0.37725219]]
[('fixed-scope release', 'scrum team')],[[ 0.76412553  0.23587447]]
[('aggregation', 'scrum team')],[[ 0.53756809  0.46243194]]
[('operations', 'scrum team')],[[ 0.52425957  0.4757404 ]]
[('sprint backlog', 'scrum team')],[[ 0.29983988  0.70016009]]
[('health', 'scrum team')],[[ 0.32096434  0.67903566]]
[('chickens', 'scrum team')],[[ 0.26148146  0.7385186 ]]
[('integrate', 'scrum team')],[[ 0.67675728  0.32324272]]
[('implementation', 'scrum team')],[[ 0.74694043  0.25305957]]
[('exit criteria', 'scrum team')],[[ 0.39068225  0.60931778]]
[('product vision', 'scrum team')],[[ 0.51481426  0.48518571]]
[('behavior', 'scrum team')],[[ 0.71961856  0.28038144]]
[('project', 'scrum team')],[[ 0.07738492  0.92261505]]
[('supervisor', 'scrum team')],[[ 0.05466036  0.94533962]]
[('class', 'scrum team')],[[ 0.5146662   0.48533377]]
[('software development', 'scrum team')],[[ 0.7577334   0.24226661]]
[('lead', 'scrum team')],[[ 0.05072549  0.94927454]]
[('unknown unknowns', 'scrum team')],[[ 0.76478094  0.23521911]]
[('cynefin', 'scrum team')],[[ 0.52242464  0.47757542]]
[('slack', 'scrum team')],[[ 0.47031218  0.52968776]]
[('graph', 'scrum team')],[[ 0.67391676  0.32608324]]
[('code review', 'scrum team')],[[ 0.08924575  0.91075426]]
[('bottleneck', 'scrum team')],[[ 0.63478851  0.36521158]]
[('external quality', 'scrum team')],[[ 0.70741332  0.29258668]]
[('Scrum team', 'scrum team')],[[  1.28968494e-12   1.00000000e+00]]
[('platform', 'scrum team')],[[ 0.13410376  0.86589622]]
[('portfolio management', 'scrum team')],[[ 0.76178086  0.23821916]]
[('chief product owner', 'scrum team')],[[ 0.76448733  0.23551267]]
[('scope', 'scrum team')],[[ 0.09460258  0.90539736]]
[('schedule analysis', 'scrum team')],[[ 0.55004519  0.44995478]]
[('segment', 'scrum team')],[[ 0.11749255  0.88250738]]
[('function', 'scrum team')],[[ 0.15688962  0.84311044]]
[('on-line', 'scrum team')],[[ 0.0745404   0.92545956]]
[('database', 'scrum team')],[[ 0.37314814  0.62685186]]
[('high-level language', 'scrum team')],[[ 0.7662524   0.23374759]]
[('test class', 'scrum team')],[[ 0.09401467  0.90598536]]
[('deliverable', 'scrum team')],[[ 0.71325755  0.28674248]]
[('design language', 'scrum team')],[[ 0.70197695  0.29802302]]
[('uncertainty', 'scrum team')],[[ 0.68343604  0.31656399]]
[('facilitation', 'scrum team')],[[ 0.62069899  0.37930098]]
[('functional analysis', 'scrum team')],[[ 0.76418066  0.23581935]]
[('factoring', 'scrum team')],[[ 0.68919945  0.31080058]]
[('construction', 'scrum team')],[[ 0.37238961  0.62761039]]
[('authority', 'scrum team')],[[ 0.61074275  0.38925722]]
[('extreme programming', 'scrum team')],[[ 0.72702801  0.27297199]]
[('name', 'scrum team')],[[ 0.26751742  0.73248255]]
[('confidence threshold', 'scrum team')],[[ 0.76483929  0.23516074]]
[('constant', 'scrum team')],[[ 0.43893072  0.56106925]]
[('visual agilexicon', 'scrum team')],[[ 0.73948872  0.26051128]]
[('offset', 'scrum team')],[[ 0.69913954  0.30086049]]
[('load', 'scrum team')],[[ 0.60657555  0.39342445]]
[('satisfaction', 'scrum team')],[[ 0.65086699  0.34913298]]
[('waste', 'scrum team')],[[ 0.16791786  0.83208215]]
[('accept', 'scrum team')],[[ 0.24015243  0.75984758]]
[('principal', 'scrum team')],[[ 0.10538846  0.89461154]]
[('cross-functional team', 'scrum team')],[[ 0.0434786   0.95652145]]
[('mandatory', 'scrum team')],[[ 0.64700681  0.3529931 ]]
[('association', 'scrum team')],[[ 0.14435878  0.85564119]]
[('estimation', 'scrum team')],[[ 0.35515794  0.64484215]]
[('lean', 'scrum team')],[[ 0.51126426  0.48873574]]
[('transaction transparency', 'scrum team')],[[ 0.76623642  0.23376355]]
[('lean ux', 'scrum team')],[[ 0.16292278  0.83707714]]
[('user role', 'scrum team')],[[ 0.05211197  0.94788802]]
[('representation', 'scrum team')],[[ 0.74517339  0.25482652]]
[('escaped', 'scrum team')],[[ 0.60194784  0.39805216]]
[('adaptation', 'scrum team')],[[ 0.50178009  0.49821991]]
[('maintainability', 'scrum team')],[[ 0.7656213   0.23437873]]
[('innovation waste', 'scrum team')],[[ 0.7385627   0.26143727]]
[('product backlog refinement', 'scrum team')],[[ 0.76632148  0.2336785 ]]
[('place', 'scrum team')],[[ 0.42376709  0.57623291]]
[('net', 'scrum team')],[[ 0.33441186  0.66558814]]
[('product planning', 'scrum team')],[[ 0.75774014  0.24225982]]
[('consistent', 'scrum team')],[[ 0.28439766  0.71560234]]
[('user roles', 'scrum team')],[[ 0.05597484  0.9440251 ]]
[('analysis', 'scrum team')],[[ 0.63239014  0.36760983]]
[('end-user', 'scrum team')],[[ 0.11015391  0.88984615]]
[('antifragile', 'scrum team')],[[ 0.76392448  0.23607555]]
[('adaptation data', 'scrum team')],[[ 0.71036357  0.28963643]]
[('schedule development', 'scrum team')],[[ 0.67838371  0.32161626]]
[('grooming', 'scrum team')],[[ 0.69703829  0.30296171]]
[('Certified Scrum Trainer', 'scrum team')],[[ 0.11444767  0.88555235]]
[('fail fast', 'scrum team')],[[ 0.16288222  0.83711773]]
[('testing', 'scrum team')],[[ 0.56841654  0.43158349]]
[('plan-driven process', 'scrum team')],[[ 0.76551664  0.23448335]]
[('package', 'scrum team')],[[ 0.4380888   0.56191117]]
[('means uncertainty', 'scrum team')],[[ 0.75181627  0.24818376]]
[('picture', 'scrum team')],[[ 0.26798767  0.73201233]]
[('domain architecture', 'scrum team')],[[ 0.76414186  0.23585814]]
[('interpret', 'scrum team')],[[ 0.44716108  0.55283886]]
[('backlog item', 'scrum team')],[[ 0.05008835  0.94991165]]
[('input', 'scrum team')],[[ 0.05070253  0.94929749]]
[('waterscrum', 'scrum team')],[[ 0.30456331  0.69543672]]
[('Certified Scrum Product Owner', 'scrum team')],[[ 0.14026655  0.85973352]]
[('reverse execution', 'scrum team')],[[ 0.72088057  0.27911946]]
[('unavoidable technical debt', 'scrum team')],[[ 0.7663222   0.23367782]]
[('antifragility', 'scrum team')],[[ 0.76502407  0.23497601]]
[('capacity', 'scrum team')],[[ 0.5928002   0.40719983]]
[('output measure', 'scrum team')],[[ 0.33877134  0.66122866]]
[('coding', 'scrum team')],[[ 0.59431368  0.40568635]]
[('agreement', 'scrum team')],[[ 0.11242421  0.88757575]]
[('end uncertainty', 'scrum team')],[[ 0.73748052  0.26251945]]
[('transaction schema', 'scrum team')],[[ 0.75834429  0.24165571]]
[('sequential', 'scrum team')],[[ 0.08006414  0.91993582]]
[('design element', 'scrum team')],[[ 0.43553504  0.56446499]]
[('limits', 'scrum team')],[[ 0.12181325  0.8781867 ]]
[('investment', 'scrum team')],[[ 0.44453961  0.55546045]]
[('virtual', 'scrum team')],[[ 0.19963479  0.80036515]]
[('batch', 'scrum team')],[[ 0.62177896  0.37822098]]
[('inventory', 'scrum team')],[[ 0.39209437  0.60790563]]
[('priority', 'scrum team')],[[ 0.53922379  0.46077621]]
[('defect', 'scrum team')],[[ 0.43423471  0.56576526]]
[('override', 'scrum team')],[[ 0.61900896  0.38099104]]
[('project team', 'scrum team')],[[ 0.01167211  0.98832792]]
[('timebox', 'scrum team')],[[ 0.33449569  0.6655044 ]]
[('conditions of satisfaction', 'scrum team')],[[ 0.76632243  0.23367755]]
[('Cynefin', 'scrum team')],[[ 0.70906526  0.29093468]]
[('definition of ready', 'scrum team')],[[ 0.76603812  0.23396184]]
[('certified scrum trainer', 'scrum team')],[[ 0.11435113  0.88564885]]
[('continuous deployment', 'scrum team')],[[ 0.76505232  0.23494773]]
[('rating', 'scrum team')],[[ 0.05995034  0.94004965]]
[('scrummaster', 'scrum team')],[[ 0.04155127  0.95844877]]
[('technical debt', 'scrum team')],[[ 0.30177906  0.69822097]]
[('software product', 'scrum team')],[[ 0.73587829  0.26412165]]
[('test-first development', 'scrum team')],[[ 0.7657783   0.23422176]]
[('self-organization', 'scrum team')],[[ 0.72150946  0.27849051]]
[('nonfunctional requirements', 'scrum team')],[[ 0.76631987  0.23368007]]
[('role', 'scrum team')],[[ 0.05535472  0.94464529]]
[('contract', 'scrum team')],[[ 0.11022366  0.88977629]]
[('ideal day', 'scrum team')],[[ 0.06159772  0.9384023 ]]
[('essential scrum', 'scrum team')],[[ 0.0437973   0.95620275]]
[('degree of confidence', 'scrum team')],[[ 0.76600528  0.23399471]]
[('product management', 'scrum team')],[[ 0.67635208  0.32364792]]
[('happened-upon technical debt', 'scrum team')],[[ 0.76632226  0.23367777]]
[('portfolio backlog', 'scrum team')],[[ 0.75734901  0.24265102]]
[('management', 'scrum team')],[[ 0.23641364  0.76358628]]
[('implementable story', 'scrum team')],[[ 0.76397324  0.23602676]]
[('end user', 'scrum team')],[[ 0.09599625  0.90400374]]
[('item', 'scrum team')],[[ 0.08194773  0.91805226]]
[('remote team member', 'scrum team')],[[ 0.07462478  0.92537522]]
[('information', 'scrum team')],[[ 0.28697273  0.71302724]]
[('capital expenditure', 'scrum team')],[[ 0.76594365  0.23405634]]
[('given-when-then', 'scrum team')],[[ 0.76515269  0.23484728]]
[('maintenance personnel', 'scrum team')],[[ 0.76367611  0.23632385]]
[('table', 'scrum team')],[[ 0.6767785  0.3232215]]
[('key', 'scrum team')],[[ 0.6985575   0.30144256]]
[('empirical process control', 'scrum team')],[[ 0.76631981  0.23368016]]
[('recursion', 'scrum team')],[[ 0.67570454  0.32429552]]
[('calendar', 'scrum team')],[[ 0.04742822  0.95257175]]
[('fibonacci sequence', 'scrum team')],[[ 0.76542109  0.23457888]]
[('prioritized list', 'scrum team')],[[ 0.75221342  0.24778657]]
[('group', 'scrum team')],[[ 0.38513789  0.61486208]]
[('story', 'scrum team')],[[ 0.25768334  0.74231666]]
[('programming', 'scrum team')],[[ 0.5405395   0.45946053]]
[('scrum framework', 'scrum team')],[[ 0.01550799  0.98449194]]
[('stand-up', 'scrum team')],[[ 0.30098441  0.69901562]]
[('spike', 'scrum team')],[[ 0.13952011  0.86047995]]
[('interface', 'scrum team')],[[ 0.69028991  0.30971012]]
[('diagram', 'scrum team')],[[ 0.0527124   0.94728762]]
[('backward execution', 'scrum team')],[[ 0.75134599  0.24865408]]
[('product analysis', 'scrum team')],[[ 0.6631853   0.33681467]]
[('budget', 'scrum team')],[[ 0.11929865  0.88070136]]
[('weighted shortest job first', 'scrum team')],[[ 0.76632261  0.23367739]]
[('burn down chart', 'scrum team')],[[ 0.75395072  0.2460493 ]]
[('output', 'scrum team')],[[ 0.37718287  0.6228171 ]]
[('information product', 'scrum team')],[[ 0.76382756  0.23617238]]
