business requirement,nontechnical requirement,re
requirements engineering,requirements management,hyper
usability testing,user acceptance tests,hypon
business requirement,interface requirement,re
architecture description,product description,re
iteration,validation,re
production,product description,not
business model,threat modeling,hyper
code,story,not
functional analysis,functional requirement,re
detailed design specification,behavior specification,re
story,story grooming,re
user roles,user story points,not
user story,story points,re
nonfunctional requirements,raw requirement,re
business requirement,well-formed requirement,re
analysis requirements,well-formed requirement,re
baseline requirements,well-formed requirement,re
baseline requirements,reference user requirements,re
tree,story,not
task board,change control board,hyper
definition,functionality,not
colocation,validation,not
object-oriented language,natural language,re
technical requirements,well-formed requirement,re
function field,functional requirement,unknown
interface control,interface requirement,re
product planning,product specification,re
user role,user requirements,re
function,functional analysis,re
requirements traceability,requirements specification,re
functional design,functional specification,re
software development,software safety,re
operation,validation,not
formal testing,formal specification,re
requirements specification,requirements review,re
category,story,not
product owner proxy,product description,not
project deliverable,project specification,not
design language,design requirement,not
non-functional requirement,raw requirement,re
functional analysis,function point,re
requirements management,requirements traceability,hyper
user need,user requirements,s
definition,validation,not
business analyst,business owners,re
user class,user persona,re
software change,software safety,re
software entropy,software safety,re
traceability analysis,traceability matrix,re
point,story,not
move,story,not
log,story,not
software engineering,software safety,hyper
allocation,validation,not
flow chart,release burndown chart,re
requirements phase,requirements traceability,re
definition,requirement,not
functional requirement,reference user requirements,not
replication,validation,not
non-functional requirement,user requirements,hypon
user stories,technical stories,hyper
product analysis,product description,not
user requirement,functional requirement,hyper
technical requirements,reference user requirements,unknow
nonfunctional requirements,reference user requirements,unknow
system requirement,functional requirement,re
vertical traceability,requirements traceability,re
horizontal traceability,requirements traceability,re
product roadmap,product description,not
satisfaction,validation,not
functional requirement,function point,not
set,story,not
detailed design specification,project specification,not
unit,story,not
ubiquitous language,natural language,re
cross-functional team,functionality,re
platform model,threat modeling,hyper
requirements allocation,requirements management,hypon
organization,validation,not
dependency analysis,functional analysis,re
elicitation requirements,functional requirement,re
requirement,well-formed requirement,hyper
detailed design specification,product specification,re
validated learning,validation,not
entity,story,not
condition,validation,not
statistical test,story test,re
list,story,not
product owner,product description,re
user role,user story points,re
business requirement,requirement,hypon
detailed design specification,formal specification,re
slack,story,not
elicitation requirements,well-formed requirement,re
business requirement,reference user requirements,unknow
story splitting,story,re
view,story,not
product backlog grooming,story grooming,s
issue,story,hyper
epic,story,hyper
declaration,validation,re
case,story,not
test environment,story test,re
requirements engineering,requirements flow-down,hyper
mura,story,re
external interface requirement,reference user requirements,unknow
iterative development,acceptance test driven development,re
functionality,function point count,re
functional requirement,functional specification,re
automation,assumption,not
story test,user acceptance tests,s
event,story,not
authority,story,not
chief product owner,business owners,re
load,story,not
ready,story,not
requirement,requirements management,re
picture,story,not
performance specification,system requirements specification,re
non-functional requirement,reference user requirements,unknow
test coverage,story test,re
complete,functionality,re
key,story,not
product line,product specification,re
agile software development,acceptance test driven development,hyper
total,story,not
user story,user requirements,re
standup,story,re
solution,validation,not
glossary,story,not
function field,function point count,unknown
replication,regulation,not
adaptation,assumption,not
sprint,story test,hyper
minimum viable product,minimum marketable features,re
software,story,re
functionality,reliability,re
exploration,validation,not
adaptation,validation,not
genba,story,not
chart,story,not
measurement function,functionality,hypon
format,story,not
productivity,product description,not
method,story,not
level,story,not
product backlog,product specification,not
requirements phase,requirements specification,re
business agility,business owners,re
user stories,user persona,re
requirements analyst,requirements review,re
product champion,product description,re
function point,functional specification,re
nonfunctional requirement,reference user requirements,unknow
script,story,not
pattern,story,not
platform,story,not
exploitation,validation,re
functional size,functional specification,not
priority,story,re
model,story,not
up,story,not
deployment,requirement,re
system,story,not
duration,validation,not
rating,story,not
waste,story,not
tutorial,story,not
end user,user persona,re
end-user,user persona,re
lead,story,not
user interface,user requirements,hypon
information,validation,re
detailed design specification,functional specification,hyper
property,story,not
exploratory testing,user acceptance tests,re
menu,story,not
end-user,story,re
security,story,re
strategy,story,not
data,story,not
entity-relationship diagram,context diagram,s
scrum,story,re
read,story,not
program,story,not
purpose,story,not
rule,story,not
unit testing,user acceptance tests,re
product management,product description,re
exit,story,not
shell,story,not
statistical model,threat modeling,re
integration,validation,not
customer,story,re
non-functional requirement,well-formed requirement,re
software testing,user acceptance tests,hyper
strategy,story test,not
backlog,story,re
label,story,re
risk,story,not
acquisition,assumption,not
management,requirement,not
requirements phase,requirements flow-down,hyper
story mapping,user story points,re
owner,story,re
net,story,not
development,requirement,re
traceability analysis,functional analysis,re
verify scope,scope creep,re
requirement,nontechnical requirement,hyper
requirements analyst,requirements management,re
requirements analyst,requirements flow-down,re
cynefin,scenario,not
user stories,sprintable story,re
duration,regulation,not
cookie,story,not
project team,project specification,re
fail,scenario,not
quality,reliability,hyper
inspection,validation,hyper
clear,story,not
software life-cycle,software safety,not
design,design constraint,hyper
production,product specification,not
duration,assumption,not
pass,story,not
sprint,story,re
mandatory,story,not
asset,story,hyper
result,regulation,not
prediction,assumption,re
problem,story,not
execution,validation,not
run,story,not
pig,story,not
fail,story,not
recovery,story,not
deep,story,not
adaptability,reliability,re
cycle,story,not
variance,validation,re
allocation,regulation,not
association,validation,not
model,model glossary,hyper
epic,scenario,re
transaction,validation,not
segment,story,not
requirements management,requirements flow-down,hyper
output,story,not
nonfunctional requirement,well-formed requirement,re
acceptance test,acceptance test driven development,hypon
story splitting,user story points,re
write,story,not
agreement,requirement,not
security,scenario,re
return,requirement,not
organization,stakeholder,not
story test,user story points,not
specification language,specification change notice,re
function,assumption,not
operations,validation,not
operation,scenario,not
fault,story,not
inspection,assumption,not
product backlog item,product description,not
statement,requirement,re
productivity,product specification,not
rework,scenario,not
usability,functionality,re
submit,story,not
argument,requirement,not
override,scenario,not
entry,scenario,not
function,validation,not
language binding,natural language,not
control,scenario,not
web,story,not
aggregation,validation,not
input,story,not
measure,story,not
decision,validation,not
cast,story,not
functional size,function point count,s
abstraction,assumption,not
cause,story,not
limits,story,not
requirements specification language,system requirements specification,re
segment,requirement,not
policy,story,not
maintainability,reliability,re
commitment,requirement,not
change,story,not
detailed design specification,system requirements specification,re
queue,story,not
submit,scenario,not
definition,assumption,not
service,user roles,not
exception,regulation,not
product roadmap,product specification,re
interface,interface requirement,re
external interface requirement,well-formed requirement,re
batch,story,not
efficiency,requirement,re
context,story,not
recursion,regulation,not
requirements management,requirements specification,re
test automation,story test,re
prediction,validation,re
scale,scenario,not
inventory,story,not
iteration,scenario,not
build,story,not
co-location,validation,not
user-story-writing workshop,user story points,re
table,story,not
graph,story,not
period,scenario,not
product analysis,product specification,re
product management,product specification,re
sequential,regulation,not
production,validation,not
acceptance testing,acceptance test driven development,hypon
lean,scenario,not
slack,scenario,not
extendability,reliability,re
cardinality,functionality,re
external interface requirement,implementation requirement,re
implementation,implementation requirement,re
resume,requirement,not
external interface requirement,design requirement,hypon
sizing,story,not
process,story,not
values,story,not
project management,project specification,hyper
chain,scenario,not
context,story test,not
formal language,formal specification,re
period,story,not
chain,story,not
formal testing,user acceptance tests,re
user interface,user story points,not
function,regulation,unknown
user requirement,user persona,re
change propagation,change control,re
software evolution,software safety,re
design recovery,design requirement,re
requirements development,requirements review,re
version,validation,not
behavior,scenario,not
iteration,assumption,not
requirements phase,user requirements,re
functional analysis,function point count,hyper
acquisition,validation,not
swarming,scenario,not
medium,story,not
solution,assumption,re
satisfaction,assumption,not
information,assumption,re
quality,story,not
budget,story,not
project notebook,project specification,not
coordination,validation,not
criteria,story,not
variable,validation,not
requirements allocation,requirement,re
ceremony,story,not
design,story,not
read,scenario,not
CRUD matrix,traceability matrix,re
system requirement,implementation requirement,hyper
external interface requirement,raw requirement,re
activity,story,re
system,story test,re
request,story test,not
mandatory,validation,not
requirements development,requirements management,re
product,product description,hyper
empirical process control,change control,re
design,design requirement,hyper
instance,story,not
external interface requirement,nontechnical requirement,re
external interface requirement,functional requirement,re
exception,assumption,not
component testing,user acceptance tests,re
bundle,story,not
acceptance criteria,user acceptance tests,re
testing,story,re
performance,performance specification,hypre
milestone,story,not
functional analysis,functional specification,re
functionality,functional specification,re
lean,story,not
scrum,scenario,re
prototype,story,not
product backlog item,product specification,re
condition,assumption,not
functional requirement,function point count,re
idle,story,not
resource,story,not
assessment,requirement,not
stream,story test,not
estimate,story,not
crisis,story,not
requirements development,requirements flow-down,hyper
requirement attribute,requirements flow-down,re
requirements specification,requirements flow-down,re
cause,scenario,not
service,story,not
acceptance,user acceptance tests,re
inconsistency management,requirements management,re
exception,scenario,not
failure,story,not
data,validation,re
ready,scenario,not
user story,story grooming,re
regression testing,user acceptance tests,re
project,story,hyper
layer,story,not
,,
address,story,not
product,prioritized list,not
statement,story test,not
capex,story,not
,,
Scrum,story,not
devops,story,not
quantity,story,not
object,story,not
invest,story,not
meaning,scenario,not
access,story,not
accept,story,unknown
,,
system requirement,reference user requirements,unknown
baseline requirements,requirements,hyper
functional design,function point count,re
resolve,story,not
value chain,stakeholder value,re
incremental development,acceptance test driven development,re
velocity,reliability,not
health,story,not
