no	Incorrect	machine code		portability	[[ 0.76282853  0.23717149]]	[[[  0.92984805   0.96179751   0.96693416   0.9006778    0.65397316
yes	Correct	real-time		real time	[[  1.31402416e-07   9.99999881e-01]]	[[[ 0.98981664  0.99617928  0.99419452  0.99853436  0.99600494  0.99907457
no	Correct	project plan		conceptual data model	[[ 0.76380283  0.23619714]]	[[[  0.92222878   0.95818373   0.88771903   0.92512792   0.72931168
no	Correct	attribute group		acceptance	[[ 0.76359349  0.23640652]]	[[[  0.85703957   0.86955143   0.84566632   0.9513025    0.74196422
no	Correct	block allocation		task board	[[ 0.76375401  0.23624603]]	[[[  0.82445238   0.9321641    0.77397539   0.88873455   0.68240157
yes	Correct	semaphore		flag	[[ 0.25812286  0.74187714]]	[[[ 0.87563447  0.95229958  0.87016717  0.93915603  0.60646143  0.79502344
no	Correct	operational expense		parameterized high-level net graph	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.84636665   0.75737517
yes	Correct	deblock		block	[[ 0.00178895  0.99821103]]	[[[ 0.91368168  0.92925806  0.87771685  0.87386438  0.67306551  0.81974081
no	Incorrect	bit steering		immediate control	[[ 0.76381207  0.23618793]]	[[[  0.           0.           0.           0.85162259   0.68988641
no	Correct	commit privileges		baseline document	[[ 0.76380515  0.23619482]]	[[[  0.80952007   0.76074141   0.73432613   0.86981534   0.61703326
no	Correct	quality model		control chart	[[ 0.76370621  0.23629376]]	[[[  0.91270582   0.87857463   0.88713443   0.92845617   0.67203551
no	Incorrect	software development plan		incremental development	[[ 0.68129444  0.31870562]]	[[[  0.91365148   0.97916248   0.92848173   0.97191151   0.77480724
no	Correct	product specification		daily meeting	[[ 0.76380408  0.23619597]]	[[[  0.90588297   0.95855053   0.87680261   0.96038794   0.64464611
no	Correct	absolute address		causal analysis	[[ 0.7633217   0.23667827]]	[[[  0.92086855   0.90356113   0.88089139   0.91009004   0.69962773
no	Correct	development team		second generation language	[[ 0.76380336  0.23619662]]	[[[  0.78638903   0.87730661   0.76243706   0.8954524    0.66191251
no	Correct	supervisor		single-valued property	[[ 0.76380116  0.23619889]]	[[[  0.86954359   0.8901294    0.79945648   0.92234393   0.61417822
yes	Correct	mapping		instance	[[ 0.14480931  0.85519069]]	[[[ 0.88753757  0.9643016   0.92948949  0.95911025  0.63310141  0.85180838
no	Correct	tree-structured chart		customer	[[ 0.76380348  0.23619644]]	[[[  0.           0.           0.           0.96020219   0.76108739
no	Correct	attribute for quality measure		accept	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.92645527   0.73032613
yes	Incorrect	think time		time sharing	[[ 0.00851492  0.99148506]]	[[[ 0.93249475  0.95042006  0.9390716   0.86313523  0.83351369  0.87339385
no	Correct	knowledge		reliability growth	[[ 0.76380372  0.23619628]]	[[[  0.           0.           0.           0.88637369   0.71746604
no	Incorrect	the operand		indirect instruction	[[ 0.76380372  0.23619628]]	[[[  0.96923866   0.97350379   0.95273914   0.93610583   0.74098361
no	Correct	macroassembler		planning processes	[[ 0.76379597  0.23620404]]	[[[  0.87035915   0.91506038   0.71770523   0.81745472   0.44137717
no	Correct	source program		marking	[[ 0.75800151  0.24199848]]	[[[  0.92393079   0.95401813   0.92289491   0.           0.           0.
no	Correct	inductive assertion		defect	[[ 0.76380408  0.23619597]]	[[[  0.           0.           0.           0.90259187   0.53558095
yes	Correct	scenario		suite	[[ 0.23959261  0.76040745]]	[[[ 0.91678319  0.95551315  0.93484985  0.89966284  0.51557309  0.79172587
no	Incorrect	code generator		application	[[ 0.76273447  0.23726554]]	[[[  0.91301632   0.97552551   0.94116122   0.93995265   0.73304057
no	Correct	release burndown chart		response time	[[ 0.76380301  0.23619696]]	[[[  0.92999552   0.93821632   0.8504954    0.91024786   0.76606715
no	Incorrect	version		configuration control	[[ 0.76379132  0.23620868]]	[[[  0.94487128   0.9653118    0.94470139   0.94955385   0.7003638
no	Correct	architect		machine-independent	[[ 0.76303166  0.23696838]]	[[[  0.82016723   0.90044923   0.82641001   0.83862171   0.60130009
no	Correct	aperiodic task		risk management plan	[[ 0.7638033   0.23619673]]	[[[  0.91005724   0.96178696   0.823784     0.83998932   0.57828318
no	Correct	configuration index		discrete effort	[[ 0.76380527  0.23619473]]	[[[  0.           0.           0.           0.9269447    0.74115561
no	Incorrect	module		call by value	[[ 0.74977231  0.25022763]]	[[[  0.93084175   0.95338961   0.93452271   0.84630029   0.71510342
no	Correct	degree of influence		measure	[[ 0.76379806  0.23620187]]	[[[  0.85915817   0.95219899   0.92821278   0.87452212   0.71353824
yes	Correct	respecialize		unspecialize	[[ 0.00206457  0.99793541]]	[[[ 0.92508882  0.93329418  0.90155428  0.79961484  0.50058668  0.6032736
no	Correct	symbolic trace		quantitative risk analysis	[[ 0.76380336  0.23619662]]	[[[  0.68292991   0.75537572   0.65493005   0.84807584   0.63821854
no	Correct	ELSE-rule		stub	[[ 0.75829226  0.24170777]]	[[[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.
no	Correct	updatable argument		evaluation procedure	[[ 0.76380414  0.23619586]]	[[[  0.77553737   0.89468755   0.78083612   0.80610222   0.60114865
yes	Correct	definition of done		done list	[[ 0.3198964  0.6801036]]	[[[  0.89105865   0.92129315   0.85736171   0.94232134   0.81641599
no	Incorrect	request for proposal		solicitation package	[[ 0.76380366  0.23619638]]	[[[  0.           0.           0.           0.95808332   0.81955084
no	Correct	product family		metrics framework	[[ 0.763605    0.23639497]]	[[[  0.9237798    0.9603789    0.90230944   0.97579531   0.83465129
no	Correct	star schema		total	[[ 0.72847629  0.27152365]]	[[[  0.93432939   0.95601661   0.84860291   0.82133207   0.52859705
no	Correct	project management office		list	[[ 0.76380336  0.23619662]]	[[[  0.90966224   0.8773204    0.88713814   0.8920112    0.61758654
no	Correct	test case		solicitation package	[[ 0.76380765  0.23619233]]	[[[  0.           0.           0.           0.88937316   0.54387595
no	Incorrect	Grosch's law		computer performance evaluation	[[ 0.76380336  0.23619662]]	[[[  1.   1.   1.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.
no	Correct	system definitions		support activity group	[[ 0.76380414  0.23619586]]	[[[  0.           0.           0.           0.90586446   0.80049098
no	Incorrect	definition of done		product sashimi	[[ 0.76380515  0.23619482]]	[[[  0.           0.           0.           0.73456317   0.52260708
no	Correct	first-generation language		start-to-start	[[ 0.7638033   0.23619673]]	[[[  0.86012527   0.91014822   0.90198043   0.92001883   0.75770499
no	Correct	logical record		argument	[[ 0.76275551  0.23724446]]	[[[  0.91239585   0.90925654   0.89357785   0.96745286   0.81609638
no	Correct	non-delivered source statement		software component	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.92730156   0.75214862
no	Correct	bottom-up		reserve analysis	[[ 0.76380557  0.2361944 ]]	[[[  0.           0.           0.           0.93191703   0.66677734
yes	Correct	epic		feature	[[ 0.15905133  0.8409487 ]]	[[[ 0.96803777  0.97831369  0.96086582  0.91206258  0.58061112  0.81731396
no	Correct	software design		Monte Carlo simulation	[[ 0.76380044  0.23619954]]	[[[  0.86949015   0.92159149   0.74400621   0.88185484   0.61311266
no	Correct	program design		three-plus-one address instruction	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.9373901    0.63267472
yes	Correct	video display terminal		visual display unit	[[ 0.28181297  0.71818697]]	[[[  0.31448703   0.           0.84945067   0.98078583   0.75952008
no	Incorrect	encapsulation		information hiding	[[ 0.76346427  0.23653574]]	[[[  0.97648462   0.99706644   0.97907242   0.99382155   0.86005199
no	Correct	milestone schedule		triggering event	[[ 0.76380306  0.23619688]]	[[[  0.85869374   0.90772044   0.88341527   0.89162249   0.78761356
no	Correct	mechanicals		subordinate web site	[[ 0.76380342  0.23619653]]	[[[  0.           0.           0.           0.86087539   0.45460405
no	Correct	service export		user interface sketch	[[ 0.76379609  0.23620397]]	[[[  0.84124232   0.88793631   0.83927766   0.77572922   0.59921085
no	Incorrect	immediate data		indirect address	[[ 0.76376903  0.23623097]]	[[[  0.90795082   0.86884209   0.84824664   0.96642514   0.86576813
no	Correct	dynamic schema		class-level responsibility	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.86970605   0.51626832
no	Correct	development branch		organization chart	[[ 0.76380384  0.23619612]]	[[[  0.87925018   0.91394697   0.7021364    0.9113259    0.72713523
yes	Correct	implementation		coding	[[ 0.38413659  0.61586344]]	[[[  0.94219971   0.95433439   0.94722647   0.95482002   0.72879768
no	Correct	attribute indicator		quick design session	[[ 0.76380372  0.23619628]]	[[[  0.           0.           0.           0.94549445   0.65986105
no	Correct	historical information		operator field	[[ 0.76380378  0.23619619]]	[[[  0.97120951   0.96171673   0.93832686   0.82036205   0.66433546
no	Incorrect	reserved word in a computer language		bit	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.93941293   0.65488452
no	Incorrect	input-process-output chart		graph	[[ 0.76380336  0.23619662]]	[[[  0.83931142   0.88226723   0.87317715   0.95527946   0.68871825
yes	Incorrect	Intranet		jump	[[ 0.22172914  0.77827084]]	[[[ 0.87629423  0.88202312  0.87359957  0.83496109  0.52958292  0.77486663
no	Incorrect	emotions seismogram		sprint retrospective	[[ 0.76380241  0.23619759]]	[[[  0.           0.           0.           0.87833117   0.52368251
no	Incorrect	finish-to-start		logical relationship	[[ 0.76380301  0.23619696]]	[[[  0.91584783   0.92898882   0.87857362   0.91906954   0.75453989
no	Correct	acceptance criteria		test set architecture	[[ 0.76380461  0.23619533]]	[[[  0.           0.           0.           0.95041      0.75333362
no	Correct	project notebook		schedule model	[[ 0.76379621  0.23620377]]	[[[  0.88520368   0.94781237   0.94990242   0.9399203    0.61422031
no	Incorrect	batch size		work in process	[[ 0.76363868  0.23636134]]	[[[  0.88683208   0.9176073    0.89097671   0.88392562   0.68308101
no	Incorrect	acceptance criteria		requirement	[[ 0.76375324  0.23624679]]	[[[  0.9497856    0.92148691   0.89516997   0.96843494   0.86950632
no	Correct	glass-box testing		computational object template	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.94487688   0.58308976
no	Correct	incremental productivity		mask	[[ 0.76380336  0.23619662]]	[[[  0.85190443   0.90885908   0.77030938   0.86114144   0.53246691
no	Correct	soft error		early-failure period	[[ 0.76380551  0.23619446]]	[[[  0.           0.           0.           0.83952066   0.55516614
yes	Correct	macroinstruction		macro	[[ 0.26714641  0.73285359]]	[[[  0.90586925   0.96336643   0.93446075   0.97537633   0.79370769
no	Correct	discrete type		software quality characteristic	[[ 0.76380336  0.23619662]]	[[[  0.83423262   0.90673836   0.76536173   0.89015416   0.56811329
no	Correct	economic filter		macroassembler	[[ 0.76181412  0.23818585]]	[[[  0.90419132   0.93919286   0.8248034    0.77094956   0.41111352
yes	Correct	compiler		cross-compiler	[[ 0.00214886  0.99785113]]	[[[ 0.92387683  0.9623647   0.92757553  0.98510836  0.91050855  0.95801794
yes	Correct	iteration		recursion	[[ 0.11653986  0.88346016]]	[[[ 0.96581833  0.96696897  0.92988924  0.97128265  0.76430606  0.90999043
no	Correct	common coupling		application function point count	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.89703764   0.81685102
no	Correct	baseline document		assumption	[[ 0.76365852  0.23634145]]	[[[  0.90122433   0.84886703   0.71506536   0.87828823   0.62357637
no	Correct	new source statements		exit criteria	[[ 0.76380378  0.23619619]]	[[[  0.           0.           0.           0.91914756   0.6708176
no	Correct	list		simple design	[[ 0.75699806  0.24300194]]	[[[  0.88742123   0.9524624    0.87844834   0.93148951   0.65339963
no	Correct	invocation deliver		enabling	[[ 0.76378131  0.23621865]]	[[[  0.           0.           0.           0.85446713   0.48976933
no	Correct	metric value		reserve analysis	[[ 0.76386386  0.23613606]]	[[[  0.           0.           0.           0.88750195   0.75978634
no	Correct	develop project management plan		transactional function type	[[ 0.76380336  0.23619662]]	[[[  1.           1.           1.           0.92744497   0.75161346
yes	Incorrect	scrum		foreground	[[ 0.26392668  0.73607332]]	[[[ 0.87808933  0.87264193  0.78687822  0.88312871  0.45865009  0.66266387
no	Correct	scope baseline		link	[[ 0.75444627  0.24555375]]	[[[  0.87344777   0.90636736   0.80461522   0.89430644   0.61449819
yes	Incorrect	unpack		personas	[[ 0.26617685  0.73382318]]	[[[ 0.87517105  0.84917585  0.84393741  0.87525732  0.46507     0.78976514
yes	Correct	objective		purpose	[[ 0.23096266  0.76903737]]	[[[ 0.93753012  0.95754504  0.90194598  0.976992    0.82313193  0.87382858
no	Correct	baseline document		triggering event	[[ 0.76370829  0.23629171]]	[[[  0.93723318   0.8653316    0.91307874   0.87436331   0.68820516
yes	Incorrect	timeboxing		upload	[[ 0.43093094  0.56906909]]	[[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  9.
no	Correct	data structure diagram		sprint mapping	[[ 0.76380306  0.23619688]]	[[[  0.90790417   0.92917144   0.88895782   0.93418933   0.66668429
no	Correct	software characteristic		value list constraint	[[ 0.76380342  0.23619653]]	[[[  0.           0.           0.           0.91639966   0.71160811
yes	Correct	down time		mean time to repair	[[ 0.24585634  0.75414371]]	[[[  0.9369993    0.9244837    0.91779102   0.93316832   0.82980674
no	Incorrect	estimate to complete		earned value technique	[[ 0.76380259  0.23619741]]	[[[  0.94096622   0.9452856    0.90178752   0.96966606   0.80965613
yes	Correct	hidden		public	[[ 0.25416866  0.74583131]]	[[[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.  0.  0.  0.  0.  0.  1.  6.
no	Correct	indirect instruction		compaction	[[ 0.76360387  0.2363961 ]]	[[[  0.90959221   0.94818495   0.87148404   0.90013338   0.67896969
no	Incorrect	computer performance evaluation		utilization	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.94742137   0.64844209
no	Correct	software life cycle		function	[[ 0.76380223  0.23619775]]	[[[  0.85207081   0.90317579   0.85413666   0.88619404   0.59184178
no	Correct	realization		applicability to a functional domain	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.91001066   0.73172418
no	Incorrect	incremental development		modular decomposition	[[ 0.76380336  0.23619662]]	[[[  0.91601731   0.94573621   0.87221761   0.89450795   0.77798422
no	Correct	identify risks		test suite	[[ 0.76349342  0.23650664]]	[[[  0.72341697   0.83742067   0.82387131   0.91971381   0.66432185
no	Correct	interface requirements specification		iterative construct	[[ 0.76380336  0.23619662]]	[[[  0.8780423    0.93549422   0.89006974   0.92338678   0.69874682
no	Incorrect	incremental development		waterfall model	[[ 0.76380342  0.23619653]]	[[[  0.95700385   0.98529903   0.97502091   0.98280517   0.91545519
no	Correct	design-to cost		outgoing change set	[[ 0.76380116  0.23619889]]	[[[  0.86495335   0.8559151    0.71256657   0.87908388   0.58955376
no	Incorrect	delivery		system life cycle	[[ 0.76123714  0.23876286]]	[[[  0.90729726   0.93586448   0.92774841   0.87724709   0.61283627
yes	Incorrect	enabling		down busy	[[ 0.18044528  0.81955469]]	[[[ 0.94669901  0.96040264  0.9606974   0.8514483   0.61682498  0.79052495
no	Correct	systems integration testing		padding	[[ 0.76380336  0.23619662]]	[[[  0.73124347   0.84066215   0.71424108   0.79145197   0.60026828
yes	Correct	linkage editor		linker	[[ 0.19799705  0.80200297]]	[[[ 0.93131733  0.9853273   0.92885225  0.96118448  0.87277849  0.92344265
no	Correct	mock-up		single machine microinstruction	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.88000482   0.58205576
no	Correct	work authorization system		clash	[[ 0.76380336  0.23619662]]	[[[  1.   1.   1.   0.   0.   0.   1.   0.   0.   0.   1.   0.   0.   0.
no	Incorrect	storage allocation		memory compaction	[[ 0.76356679  0.23643321]]	[[[  0.94395631   0.98286018   0.9377028    0.97273806   0.87148423
no	Correct	risk handling		protocol object	[[ 0.76382214  0.23617789]]	[[[  0.82061339   0.           0.80933041   0.86547612   0.58318441
no	Correct	associative class		Boolean signature	[[ 0.76380336  0.23619662]]	[[[  0.94023458   0.94942422   0.93095787   0.95103479   0.84983886
no	Correct	and validation		should-cost estimate	[[ 0.76380301  0.23619696]]	[[[  0.94910394   0.9594662    0.9083415    0.87612415   0.65263929
no	Correct	N-ary relationship		technical review	[[ 0.76380336  0.23619662]]	[[[  0.9205111    0.92264503   0.89384138   0.90292577   0.63450606
no	Correct	generalization hierarchy		story test	[[ 0.76380336  0.23619662]]	[[[  0.91549124   0.93558962   0.89782993   0.94207745   0.68523217
no	Incorrect	integrated circuit		microchip	[[ 0.76373923  0.23626071]]	[[[  0.95392964   0.96008553   0.9494852    0.97242004   0.76353688
no	Incorrect	block diagram		flowchart	[[ 0.55970162  0.44029838]]	[[[ 0.95244019  0.96496039  0.93824912  0.91152297  0.78700553  0.86842175
no	Correct	web page		preliminary design review	[[ 0.76380342  0.23619653]]	[[[  0.87201724   0.82589681   0.81906026   0.82273669   0.56317331
no	Correct	allocated requirement		meta-relationship	[[ 0.76380372  0.23619628]]	[[[  0.           0.           0.           0.92237011   0.61187595
no	Correct	compiler directive source statement		job control language	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.88862653   0.74054557
no	Incorrect	block diagram		system resources chart	[[ 0.76380342  0.23619653]]	[[[  0.           0.           0.           0.88768255   0.62394363
yes	Correct	hidden		private	[[ 0.25416866  0.74583131]]	[[[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.  0.  0.  0.  0.  0.  1.  6.
no	Correct	processor		loop-control variable	[[ 0.76380074  0.23619932]]	[[[  0.90016569   0.925142     0.86057062   0.86174252   0.59220654
no	Correct	change control board		parallel classes	[[ 0.76380324  0.23619682]]	[[[  0.88756163   0.89317661   0.88281943   0.96085495   0.69525459
no	Correct	roll		cycle stealing	[[ 0.76185143  0.23814857]]	[[[  0.88386398   0.89104691   0.8583821    0.78610677   0.46132271
no	Incorrect	persona		user story	[[ 0.74190056  0.25809944]]	[[[ 0.          0.          0.          0.          0.          0.          0.
no	Correct	program definition language		software monitor	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.89748213   0.71499731
no	Correct	behavior specification		updatable argument	[[ 0.76380342  0.23619653]]	[[[  0.8604589    0.92834611   0.8904249    0.82250229   0.49111371
no	Correct	Java Database Connectivity		application	[[ 0.76380336  0.23619662]]	[[[  0.91728551   0.92385482   0.91420399   0.83581163   0.59545882
yes	Correct	macro		macrogenerator	[[ 0.28121296  0.71878707]]	[[[ 0.          0.          0.          0.97139309  0.83575921  0.92326321
no	Correct	participant property		Artifacts page	[[ 0.76378411  0.23621592]]	[[[  0.88527927   0.92061315   0.85681749   0.93524329   0.63679882
yes	Correct	acquisition		outsourcing	[[ 0.27100092  0.72899902]]	[[[  0.93864261   0.92645482   0.9316104    0.95821445   0.71106506
no	Correct	programmable terminal		inner cardinality	[[ 0.76380444  0.23619561]]	[[[  0.           0.           0.           0.86671511   0.52948635
no	Correct	digraph		project management information system	[[ 0.76380336  0.23619662]]	[[[  0.8113345    0.84851749   0.65789378   0.86227597   0.42217988
no	Correct	control breakpoint		assessment constraints	[[ 0.76380372  0.23619628]]	[[[  0.79140705   0.88866791   0.77092688   0.9185223    0.56833168
no	Incorrect	holding cost		U-curve optimization	[[ 0.76378655  0.23621351]]	[[[  0.90237725   0.91920259   0.82418769   0.86745766   0.7067662
no	Correct	software support		test phase	[[ 0.76377797  0.23622201]]	[[[  0.85098603   0.95280752   0.90516869   0.86792187   0.64125614
no	Correct	assertion		target language	[[ 0.7607674   0.23923256]]	[[[  0.9318259    0.93801046   0.92922336   0.90733677   0.61588081
no	Correct	turnkey		conditional information	[[ 0.76380336  0.23619662]]	[[[  0.8306892    0.74021904   0.80647198   0.86087719   0.54631811
yes	Correct	caution		warning	[[ 0.02565563  0.97434437]]	[[[ 0.90165224  0.95450009  0.90522303  0.93512517  0.75805827  0.89799768
no	Correct	user terminal		potentially shippable product increment	[[ 0.76380336  0.23619662]]	[[[  0.8007447    0.82978263   0.68639019   0.85788984   0.54366324
no	Correct	deleted source statement		direct measure	[[ 0.76380366  0.23619638]]	[[[  0.           0.           0.           0.82507195   0.57255322
no	Correct	intellectual property		risk acceptance	[[ 0.76380384  0.23619612]]	[[[  0.94777425   0.95737276   0.9495175    0.91795465   0.55795
no	Correct	framework		activity identifier	[[ 0.76380277  0.23619723]]	[[[  0.91363036   0.92245882   0.88679781   0.9680799    0.767846
no	Correct	team member		reset	[[ 0.73461533  0.26538464]]	[[[ 0.86602992  0.9049943   0.86310188  0.82575003  0.4374807   0.62168783
no	Correct	production library		perform quantitative analysis	[[ 0.76380342  0.23619653]]	[[[  0.85091494   0.79325734   0.7417584    0.94945279   0.63166752
yes	Correct	routine		subroutine	[[ 0.01641956  0.98358041]]	[[[ 0.96079395  0.98462781  0.95820632  0.76655501  0.63900981  0.6948904
yes	Correct	supplier		contractor	[[ 0.26620543  0.73379457]]	[[[ 0.92398867  0.97497523  0.93256711  0.9418961   0.77555542  0.85120812
no	Incorrect	input-process-output		transform analysis	[[ 0.76380336  0.23619662]]	[[[  0.90019567   0.90825868   0.87243722   0.94070812   0.69163969
no	Correct	non-developed source statement		software piracy	[[ 0.76380336  0.23619662]]	[[[  1.           1.           1.           0.96694904   0.79174654
yes	Incorrect	postcondition		syntax	[[ 0.26949915  0.73050088]]	[[[  0.92784311   0.96307356   0.93024301   0.972841     0.7178502
no	Correct	hybrid computer		page turning	[[ 0.76370597  0.23629403]]	[[[  0.90448823   0.90186189   0.89425306   0.93628616   0.77203596
no	Correct	commit window		Eclipse	[[ 0.76380128  0.23619869]]	[[[  0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.
no	Correct	background processing		self-relative address	[[ 0.7638033   0.23619673]]	[[[  0.92885477   0.95093798   0.91675924   0.95239135   0.78982491
no	Correct	early finish date		performance analysis	[[ 0.76380372  0.23619628]]	[[[  0.           0.           0.           0.92350924   0.61887998
no	Incorrect	block diagram		graph	[[ 0.76023555  0.23976442]]	[[[  0.94083391   0.94838681   0.92325934   0.86852613   0.6337323
no	Correct	control flow diagram		bill of materials	[[ 0.76380283  0.23619714]]	[[[  0.93748574   0.93513546   0.92348695   0.93958266   0.69682047
no	Correct	check in		test objective	[[ 0.76361114  0.23638886]]	[[[  0.92853149   0.94267473   0.88175497   0.85039192   0.56692709
no	Correct	common data		affinity testing	[[ 0.76381224  0.23618767]]	[[[  0.           0.           0.           0.90370801   0.5730222
no	Correct	machine-dependent		program management	[[ 0.76379991  0.23620006]]	[[[  0.86038457   0.8808601    0.90861724   0.80758785   0.59933443
no	Correct	online compiler		process attribute	[[ 0.76380378  0.23619619]]	[[[  0.84539654   0.94934087   0.87540802   0.92804831   0.64249694
no	Correct	external quality		Data Movement Service	[[ 0.76380193  0.2361981 ]]	[[[  0.86375587   0.90696156   0.76240636   0.92294005   0.78554464
yes	Correct	crashing		fast tracking	[[ 0.39738688  0.60261315]]	[[[ 0.849583    0.95566612  0.90873493  0.89848878  0.57684545  0.77860722
no	Correct	straight-line code		translator	[[ 0.76313019  0.23686984]]	[[[  0.89803688   0.92817602   0.92904646   0.84528258   0.59028422
no	Correct	clear text file encoding		Java Database Connectivity	[[ 0.76380342  0.23619653]]	[[[  0.           0.           0.           0.87307623   0.70252937
no	Correct	data protection		error prediction	[[ 0.73843229  0.26156768]]	[[[ 0.84683919  0.87496573  0.81067763  0.824529    0.70005177  0.81438495
no	Incorrect	weighted shortest job first		cost of delay	[[ 0.76380336  0.23619662]]	[[[  0.           0.           0.           0.95268466   0.74707535
no	Correct	intrinsic		one-address instruction	[[ 0.76380324  0.23619682]]	[[[  0.           0.           0.           0.85987562   0.44360442
yes	Correct	co-located team		remote team member	[[ 0.21529874  0.78470129]]	[[[  0.95400556   0.88990486   0.83933718   0.9844155    0.87088636
no	Correct	commit war		nano code	[[ 0.76273352  0.23726647]]	[[[  0.92871372   0.94264159   0.89327454   0.7240542    0.35468662
no	Incorrect	language processor		assembler	[[ 0.76354897  0.23645101]]	[[[  0.95047539   0.977741     0.93404896   0.90284225   0.74487958
no	Correct	category entity		t-shirt sizing	[[ 0.76374882  0.23625119]]	[[[  0.9070165    0.8776068    0.85677919   0.82110968   0.56827218
no	Correct	design inspection		closed subroutine	[[ 0.76380002  0.23619999]]	[[[  0.83962368   0.91163018   0.7772725    0.93721689   0.72603458
no	Incorrect	starting address		loaded origin	[[ 0.76380545  0.23619457]]	[[[  0.82733347   0.85426542   0.73758505   0.79973424   0.66071774
yes	Correct	entry point		entrance	[[ 0.28474697  0.715253  ]]	[[[ 0.93676974  0.9573739   0.92925533  0.92492182  0.56811615  0.60606261
no	Correct	system analysis		processor	[[ 0.76329476  0.23670524]]	[[[  0.9044929    0.91730779   0.81850322   0.87562453   0.5337626
