accuracy,precision
high order language,fourth generation language
high order language,machine language
host machine,target machine
hybrid coupling,common- environment coupling
hybrid coupling,content coupling
hybrid coupling,control coupling
hybrid coupling,data coupling
hybrid coupling,pathological coupling
implementation requirement,design requirement
implementation requirement,interface requirement
implementation requirement,performance requirement
implementation requirement,physical requirement
incremental development,waterfall model
the operand,direct address
the operand,immediate data
indirect instruction,direct instruction
indirect instruction,immediate instruction
input,output
input assertion,loop assertion
input assertion,output assertion
integer type,character type
integer type,enumeration type
integer type,logical type
integer type,real type
interactive,batch
interface requirement,design requirement
interface requirement,requirement
interface requirement,functional performance requirement
interface requirement,physical requirement
interpret,assemble
interpret,compile
interpreter,assembler
interpreter,compiler
interpretive code,assembly code
interpretive code,compiler code
interpretive code,machine code
lateral compression,downward compression
lateral compression,upward compression
load,store
load module,assembled origin
local compaction,global compaction
local data,global data
local variable,global variable
logical cohesion,coincidental cohesion
logical cohesion,communicational cohesion
logical cohesion,functional cohesion
logical cohesion,procedural cohesion
logical cohesion,sequential cohesion
logical cohesion,temporal cohesion
logical type,character type
logical type,enumeration type
logical type,integer type
logical type,real type
loop assertion,input assertion
loop assertion,output assertion
loop body,loop control
machine code,assembly code
machine code,compiler code
machine code,interpretive code
menu-driven,command-driven
monadic selective construct,dyadic selective construct
monitor,copy
multiaddress instruction,one-address instruction
multiprocessing,multiprogramming
n -level address,direct address
n -level address,immediate data
n -plus-one address instruction,n -address instruction
nondestructive read,destructive read
object program,source program
occupational title standard,on-line
on-line,batch
one-address instruction,multiaddress four- two-address address instruction
one-address instruction,zero-address instruction
one-ahead addressing,repetitive addressing
open subroutine,closed subroutine
operation field,address field
operational testing,development testing
origin,starting address
output,input
partial correctness,total correctness
path testing,branch testing
path testing,statement testing
pathological coupling,common-environment content coupling
pathological coupling,control coupling
pathological coupling,data coupling
pathological coupling,hybrid coupling
pause,stop
perfective maintenance,adaptive maintenance
perfective maintenance,corrective maintenance
performance requirement,design requirement
performance requirement,requirement
performance requirement,interface requirement
performance requirement,physical requirement
precision,postprocessor
problem state,supervisor state
procedural cohesion,coincidental cohesion
product baseline,allocated baseline
product baseline,developmental configuration
product baseline,functional baseline
program-sensitive fault,data-sensitive fault
programmer manual,query language
programmer manual,specification language
quality assurance,quality control
query language,programming language
query language,specification language
read,write
real storage,virtual storage
real time,batch
real type,character type
real type,enumeration type
real type,integer type
real type,logical type
relative address,absolute address
relocating assembler,absolute assembler
relocating loader,absolute loader
requirements review,code review
requirements review,design review
requirements review,formal qualification review
requirements review,test readiness review
requirements specification,design description
residual control,bit steering
roll out,roll in
semantic error,syntactic error
semantics,syntax
simple buffering,dynamic buffering
simplicity,complexity
simultaneous,concurrent
soft failure,hard failure
software development library,master library
software development library,production library
software development library,software repository
software development library,system library
software life cycle,software development cycle
spiral model,waterfall model
starting address,origin
static analysis,dynamic analysis
static binding,dynamic binding
static breakpoint,dynamic breakpoint
static dump,dynamic dump
stop,pause
store,load
stratified language,unstratified language
structural testing,functional testing
supervisor state,problem state
support software,application software
syntactic error,semantic error
system development cycle,system life cycle
system software,application software
target language,source language
temporal cohesion,coincidental cohesion
temporal cohesion,communicational cohesion
temporal cohesion,functional cohesion
temporal cohesion,logical cohesion
temporal cohesion,procedural cohesion
temporal cohesion,sequential cohesion
test readiness review,code review
test readiness review,formal qualification review
test readiness review,design review
test readiness review,requirements review
three-address instruction,one-address instruction
three-address instruction,two-address instruction
three-address instruction,four-address instruction
three-address instruction,zero-address instruction
three-plus-one address instruction,one- plus-one address address instruction
timing,sizing
total correctness,partial correctness
turnkey,single-level encoding
unwind,down
virtual storage,real storage
waiver,deviation
waiver,engineering change
waterfall model,incremental development
waterfall model,rapid prototyping
waterfall model,spiral model
wearout-failure period,constant-failure period
wearout-failure period,early-failure period
